model_name	prompt_len	output_len	call_latency	secs_per_tok
command-medium-nightly	17.0	1.0	0.2874775409698486	0.2874775409698486
command-xlarge-nightly	17.0	2.8	11.966654539108276	5.085270977020263
command-medium-nightly	17.0	26.0	1.524009609222412	0.06052305338874695
command-xlarge-nightly	17.0	21.6	7.918123531341553	0.42037842591603597
command-medium-nightly	17.0	25.2	2.684904909133911	0.109835783186413
command-xlarge-nightly	17.0	32.0	19.029280805587767	0.5946650251746177
command-medium-nightly	17.0	52.4	5.088655614852906	0.10293128190906828
command-xlarge-nightly	17.0	66.0	25.057397603988647	0.37965753945437347
command-medium-nightly	17.0	71.2	10.129711818695068	0.37084061841850036
command-xlarge-nightly	17.0	384.0	28.69362840652466	0.0747229906419913
command-medium-nightly	17.0	78.2	20.591672086715697	0.334231215843114
command-xlarge-nightly	17.0	258.0	50.83738217353821	0.1970441169516985
command-medium-nightly	47.0	3.0	0.30855846405029297	0.10285282135009766
command-xlarge-nightly	47.0	14.4	21.469356203079222	3.0663593133290608
command-medium-nightly	47.0	29.2	4.036474227905273	0.13882914071795585
command-xlarge-nightly	47.0	32.0	15.946528196334839	0.4983290061354637
command-medium-nightly	47.0	31.6	2.750438022613525	0.08706491112709044
command-xlarge-nightly	47.0	46.2	12.861500644683838	0.36834439979149747
command-medium-nightly	47.0	64.4	5.159478807449341	0.08013684566725385
command-xlarge-nightly	47.0	192.0	13.060485076904296	0.06802335977554322
command-medium-nightly	47.0	126.0	10.196763134002685	0.08703236169081467
command-xlarge-nightly	47.0	334.8	31.870991277694703	0.13511617962216987
command-medium-nightly	47.0	59.2	20.694675731658936	0.45702095169658996
command-xlarge-nightly	47.0	261.0	52.16917848587036	0.19988190990754928
command-medium-nightly	79.0	3.0	0.31339125633239745	0.10446375211079914
command-xlarge-nightly	79.0	3.0	23.947616386413575	7.982538795471191
command-medium-nightly	79.0	48.0	1.5605517864227294	0.032511495550473536
command-xlarge-nightly	79.0	78.4	7.086736822128296	0.12263039688269298
command-medium-nightly	79.0	96.0	2.6612493991851807	0.027721347908178966
command-xlarge-nightly	79.0	78.0	6.984952545166015	0.09375159632075916
command-medium-nightly	79.0	64.0	5.158032035827636	0.08059425055980682
command-xlarge-nightly	79.0	66.0	25.787271213531493	0.39071623050805293
command-medium-nightly	79.0	310.4	10.495240211486816	0.0370490606824557
command-xlarge-nightly	79.0	186.4	31.53369836807251	0.19878822209408684
command-medium-nightly	79.0	100.0	22.760425806045532	0.2276042580604553
command-xlarge-nightly	79.0	462.6	59.45445013046265	0.17753698543878543
command-medium-nightly	143.0	3.0	0.32591981887817384	0.10863993962605793
command-xlarge-nightly	143.0	3.0	5.848673534393311	1.94955784479777
command-medium-nightly	143.0	48.0	1.4909441947937012	0.031061337391535437
command-xlarge-nightly	143.0	48.0	9.01328616142273	0.18777679502964018
command-medium-nightly	143.0	96.0	2.7672906875610352	0.028825944662094115
command-xlarge-nightly	143.0	258.6	17.367669773101806	0.07577439826376492
command-medium-nightly	143.0	166.0	5.186054611206055	0.032548333737715644
command-xlarge-nightly	143.0	361.6	20.062089061737062	0.06622192772477867
command-medium-nightly	143.0	281.6	10.450492429733277	0.048721275285253815
command-xlarge-nightly	143.0	130.0	26.924354457855223	0.20711041890657866
command-medium-nightly	143.0	130.0	24.056962966918945	0.1850535612839919
command-xlarge-nightly	143.0	258.6	52.90178003311157	0.20458826109080525
command-medium-nightly	276.0	3.0	0.3520333766937256	0.11734445889790854
command-xlarge-nightly	276.0	2.4	0.6063731193542481	0.26103057861328127
command-medium-nightly	276.0	48.0	1.5701509475708009	0.03271147807439169
command-xlarge-nightly	276.0	43.8	10.842477703094483	0.2372849644334228
command-medium-nightly	276.0	96.0	2.805047369003296	0.02921924342711767
command-xlarge-nightly	276.0	96.0	13.95136923789978	0.1453267628947894
command-medium-nightly	276.0	192.0	5.327465677261353	0.027747217069069546
command-xlarge-nightly	276.0	192.0	16.337336778640747	0.08509029572208723
command-medium-nightly	276.0	384.0	10.500414562225341	0.027344829589128494
command-xlarge-nightly	276.0	258.8	34.681025171279906	0.13404424848168608
command-medium-nightly	276.0	622.8	23.649095392227174	0.03844839591386578
command-xlarge-nightly	276.0	258.2	55.79126324653625	0.21608959426890156
command-medium-nightly	624.0	3.0	0.4225013256072998	0.14083377520243326
command-xlarge-nightly	624.0	3.0	3.7004496574401857	1.2334832191467284
command-medium-nightly	624.0	42.4	1.7042576789855957	0.04136884093800664
command-xlarge-nightly	624.0	32.2	10.9420334815979	0.3345676753061841
command-medium-nightly	624.0	96.0	3.1058096885681152	0.03235218425591787
command-xlarge-nightly	624.0	32.6	9.711657190322876	0.29694733610658935
command-medium-nightly	624.0	122.8	5.68047866821289	0.05785232116598073
command-xlarge-nightly	624.0	221.6	18.43728847503662	0.08488239903574488
command-medium-nightly	624.0	384.0	12.922749185562134	0.033652992670734724
command-xlarge-nightly	624.0	384.0	51.76026167869568	0.13479234812160332
command-medium-nightly	624.0	766.8	22.271337604522706	0.029044509606924628
command-xlarge-nightly	624.0	616.6	53.66487054824829	0.08703372578802676
